name,adapter,rank,alpha,lr,n_trainable,peak_mem_gb,elapsed_s,final_train_loss,final_val_loss,save_path
"QLoRA A (r=8, α=16)",qlora,8,16,0.0001,11612160,2.82331392,837.6536014080048,0.084430335694924,0.08918196977300914,qlora_screening_runs/QLoRA_A_r8_α16
"QLoRA B (r=16, α=32)",qlora,16,32,0.0001,23224320,2.89298688,838.8737511634827,0.08924137041904032,0.0891594598069787,qlora_screening_runs/QLoRA_B_r16_α32
